Site,Layer,Easting,Northing ,Mass,Thickness,Thickness,,Density- Ash,,Isomass
,,(m),(m),(g),(cm),(m),,(kg/m3),,(kg/m2)
,,,,,,,,,,
1A,1A,526774,1381087,1235,33,0.33,,982.50,,324.22
1B,1B,,,1550,15,0.15,,1233.09,,184.96
2A,2A,526028,1380972,1135,23,0.23,,902.94,,207.68
2B,2B,,,1528,4,0.04,,1215.59,,48.62
3A,3A,525477,1380291,1187,33,0.33,,944.31,,311.62
3B,3B,,,1478,14,0.14,,1175.82,,164.61
4A,4A,524516,1379866,1323,10,0.1,,1052.51,,105.25
4B,4B,,,1514,12,0.12,,1204.46,,144.53
5A,5A,523595,1379462,1466,15,0.15,,1166.27,,174.94
5B,5B,,,1474,6,0.06,,1172.63,,70.36
6A,6A,522674,1379481,1403,17,0.17,,1116.15,,189.75
6B,6B,,,1551,3,0.03,,1233.89,,37.02
7,7M,521642,1379304,1438,15,0.15,,1143.99,,171.60
8,8M,520715,1378964,1374,11,0.11,,1093.08,,120.24
9,9M,519877,1378201,1580,5,0.05,,1256.96,,62.85
10,10M,520742,1379432,1555,13,0.13,,1237.07,,160.82
11,11M,520990,1380130,1508,13,0.13,,1199.68,,155.96
12,12M,520892,1381127,1401,15,0.15,,1114.56,,167.18
13,13M,521902,1382109,1493,6,0.06,,1187.75,,71.26
14,14M,522118,1379921,1316,15,0.15,,1046.94,,157.04
15A,15A,523973,1380489,1376,8,0.08,,1094.67,,87.57
15B,15B,,,1179,18,0.18,,937.95,,168.83
16B,16B,525162,1380976,1286,25,0.25,,1023.07,,255.77
17A,17A,525544,1381476,1174,13,0.13,,933.97,,121.42
17B,17B,,,1472,11,0.11,,1171.04,,128.81
18,18M,525760,1382320,1479,13,0.13,,1176.61,,152.96
19,19M,524400,1382378,1508,23,0.23,,1199.68,,275.93
20,20M,523387,1382182,1733,14,0.14,,1378.68,,193.02
21,21M,522453,1381550,1688,11,0.11,,1342.88,,147.72
22,22M,521894,1380712,1651,13,0.13,,1313.44,,170.75
23B,23B,529889,1379931,1478,21,0.21,,1175.82,,246.92
,C,,,1645,,0,,1308.67,,0.00
24,24M,529139,1380417,1291,81,0.81,,1027.05,,831.91
25,25M,528622,1380874,1501,120,1.2,,1194.11,,1432.94
26,26M,527524,1380945,1306,71,0.71,,1038.98,,737.68
27A,27A,526823,1381601,1172,16,0.16,,932.38,,149.18
27B,27B,,,1533,20,0.2,,1219.57,,243.91
28A,28A,526524,1381709,1281,11,0.11,,1019.09,,112.10
28B,28B,,,1576,18,0.18,,1253.78,,225.68
29A,29A,524433,1381454,1123,9,0.09,,893.40,,80.41
29B,29B,,,1496,14,0.14,,1190.14,,166.62
30,30M,523722,1381349,1446,24,0.24,,1150.36,,276.09
31A,31A,528142,1381657,1127,31,0.31,,896.58,,277.94
31B,31B,,,1512,35,0.35,,1202.86,,421.00
32A,32A,529178,1382180,1478,,0,,1175.82,,0.00
32B,32B,,,1461,,0,,1162.29,,0.00
33A,33A,529811,1382324,1440,,0,,1145.58,,0.00
33B,33B,,,1422,,0,,1131.26,,0.00
34A,34A,530232,1382772,1472,23,0.23,,1171.04,,269.34
34B,34B,,,1557,8,0.08,,1238.66,,99.09
35,35M,530418,1383102,1503,63,0.63,,1195.70,,753.29
,Fine,,,1489,,0,,1184.57,,0.00
36A,36A,531371,1382795,1720,48,0.48,,1368.34,,656.80
36B,36B,,,1251,24,0.24,,995.23,,238.85
37A,37A,529666,1383245,1522,25,0.25,,1210.82,,302.70
37B,37B,,,1668,8,0.08,,1326.97,,106.16
38,38M,528975,1383175,1854,26,0.26,,1474.94,,383.48
39,39M,522302,1377932,1794,10,0.1,,1427.21,,142.72
40,40M,528159,1380191,1329,87,0.87,,1057.28,,919.83
41,41M,527137,1380167,1186,72,0.72,,943.52,,679.33
42A,42A,526109,1380543,1342,34,0.34,,1067.62,,362.99
42B,42B,,,1219,20,0.2,,969.77,,193.95
43A,43A,525983,1379744,1355,42,0.42,,1077.96,,452.74
43B,43B,,,1526,8,0.08,,1214.00,,97.12
44A,44A,524920,1379122,1594,,0,,1268.10,,0.00
44B,44B,,,1332,,0,,1059.67,,0.00
45,45M,523983,1378749,1406,22,0.22,,1118.54,,246.08
46,46M,523174,1379228,1368,23,0.23,,1088.31,,250.31
47,47M,522536,1378550,1538,30,0.3,,1223.55,,367.06
48,48M,521505,1378499,1568,22,0.22,,1247.41,,274.43
49,49M,521747,1377510,1499,21,0.21,,1192.52,,250.43
50,50M,522806,1377761,1539,12,0.12,,1224.34,,146.92
51,51M,523894,1377922,1575,19,0.19,,1252.98,,238.07
52,52M,524826,1378577,1555,23,0.23,,1237.07,,284.53
53,53M,525759,1378887,1490,19,0.19,,1185.36,,225.22
54,54M,526664,1378620,1590,26,0.26,,1264.92,,328.88
55,55M,527927,1379208,1300,42,0.42,,1034.21,,434.37
56,56M,528574,1379238,1595,17,0.17,,1268.89,,215.71
57,57M,530429,1379430,1597,27,0.27,,1270.49,,343.03
59,59M,531058,1380228,1537,8,0.08,,1222.75,,97.82
60A,60A,530597,1380732,1372,13,0.13,,1091.49,,141.89
60B,60B,,,1452,22,0.22,,1155.13,,254.13
61,61M,531878,1381004,1420,25,0.25,,1129.67,,282.42
62A,62A,531201,1381246,1377,15,0.15,,1095.47,,164.32
62B,62B,,,1287,14,0.14,,1023.87,,143.34
63,63M,530293,1381534,1471,160,1.6,,1170.25,,1872.39
64,64M,529451,1381172,1256,150,1.5,,999.20,,1498.81
65,65M,530518,1380992,1471,53,0.53,,1170.25,,620.23
66,66M,521537,1376665,1873,6,0.06,,1490.06,,89.40
67,67M,522559,1376999,1565,1,0.01,,1245.03,,12.45
68,68M,523856,1377173,1599,3,0.03,,1272.08,,38.16
69,69M,524591,1377489,1929,7,0.07,,1534.61,,107.42
70,70M,525564,1377877,1794,23,0.23,,1427.21,,328.26
71,71M,526899,1379123,1442,28,0.28,,1147.18,,321.21
72A,72A,524505,1380950,1201,18,0.18,,955.45,,171.98
72B,72B,,,1682,8,0.08,,1338.11,,107.05
73,73M,522646,1380659,1577,23,0.23,,1254.57,,288.55
74A,74A,526416,1382894,1479,10,0.1,,1176.61,,117.66
74B,74B,,,1695,25,0.25,,1348.45,,337.11
75,75M,527536,1383362,1812,39,0.39,,1441.53,,562.20
76,76M,527796,1382127,1439,73,0.73,,1144.79,,835.70
77,77M,527021,1381806,1417,48,0.48,,1127.29,,541.10
,Fine,,,1437,,0,,1143.20,,0.00
78,78M,528675,1382740,1550,34,0.34,,1233.09,,419.25
79,79M,528763,1384430,1629,9,0.09,,1295.94,,116.63
80,80M,526617,1379772,1494,54,0.54,,1188.54,,641.81
,,,,,,,,,,
,,,,,,Aver. Den =,,1168.37,,
,,,,,,standard dev=,,133.27,,